RAG Incremental Load: 26 clean chunks, 0 new chunks. Dirty: 0, Deleted: 0
2026-06-09 20:14:36,981 | INFO | backend.ml.inference | Health inference will use CUDA device: NVIDIA GeForce RTX 3060 Laptop GPU
2026-06-09 20:15:32,191 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:32,196 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:15:33,201 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:33,205 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:15:34,211 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:34,218 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:15:35,222 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:35,227 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:15:36,230 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:36,235 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
INFO:     127.0.0.1:4856 - "GET /api/v1/alarms/queue/snapshot HTTP/1.1" 200 OK
2026-06-09 20:15:37,240 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:37,245 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
INFO:     127.0.0.1:4857 - "GET /api/v1/alarms HTTP/1.1" 200 OK
2026-06-09 20:15:38,250 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:38,255 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:15:39,259 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:39,264 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:15:40,268 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:40,275 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:15:41,280 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:41,286 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:15:42,290 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:42,295 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:15:43,299 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:43,303 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:15:44,308 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:44,313 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:15:45,318 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:45,322 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:15:46,326 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:46,331 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:15:47,336 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:47,341 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:15:48,345 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:48,350 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:15:49,354 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:49,360 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:15:50,363 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:50,368 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:15:51,372 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:51,375 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:15:52,380 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:52,385 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:15:53,391 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:53,395 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:15:54,399 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:54,405 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
INFO:     127.0.0.1:9439 - "GET /api/v1/alarms HTTP/1.1" 200 OK
INFO:     127.0.0.1:9440 - "GET /api/v1/alarms/queue/snapshot HTTP/1.1" 200 OK
2026-06-09 20:15:55,409 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:55,414 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:15:56,418 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:56,422 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:15:57,426 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:57,430 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:15:58,436 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:58,440 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:15:59,445 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:15:59,449 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:16:00,453 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:16:00,457 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:16:01,462 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:16:01,466 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:16:02,471 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:16:02,475 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:16:03,480 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:16:03,484 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:16:04,487 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:16:04,492 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:16:05,496 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:16:05,500 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:16:06,505 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:16:06,509 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:16:07,514 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:16:07,520 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:16:08,526 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:16:08,531 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:16:09,535 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:16:09,540 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:16:10,545 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:16:10,550 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:16:11,555 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:16:11,560 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:16:12,564 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:16:12,569 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:16:13,575 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:16:13,580 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:16:14,584 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:16:14,589 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:16:15,593 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:16:15,599 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:16:16,604 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:16:16,609 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:16:17,612 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:16:17,617 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:16:18,623 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:16:18,626 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
2026-06-09 20:16:19,631 | WARNING | iot.serial_reader | Preferred serial collector port COM3 is unavailable; falling back to auto-detection.
2026-06-09 20:16:19,634 | WARNING | iot.serial_reader | Serial collector unavailable on COM3, retrying detection in 1.0s: No compatible collector serial port was detected.
